name,apiUrl,url,slug,description,linhafina,category,city,lat,lng,meu
Terra Sem Males,http://www.terrasemmales.com.br/wp-json/wp/v2/,http://www.terrasemmales.com.br/,terrasemmales,"O Terra Sem Males é um projeto que pratica o jornalismo independente, com a colaboração de vários jornalistas, para a produção de reportagens e começou em 2015. A missão é dar voz e visibilidade às populações e povos deixados de lado pelos donos da mídia convencional. Luta pela democratização da comunicação, para que seja efetivamente uma concessão pública, e incentiva a criação de novos espaços de comunicadores e comunicadoras populares. Aposta na produção de reportagens, sob o ponto de vista dos trabalhadores, com a valorização das imagens como fonte de informação.",Dar voz e visibilidade às populações e povos deixados de lado pelos donos da mídia convencional.,Cidadania e Política,Curitiba,-25.432695,-49.257924,
Catraca Livre,https://catracalivre.com.br/wp-json/wp/v2/,https://catracalivre.com.br/,catracalivre,"Empoderar se traduz, em nosso jornalismo, na busca do maior número possível de informações que mostrem possibilidades acessíveis e de qualidade, virtuais ou presenciais, em todas as áreas da atividade humana: da cultura, passando pela saúde e mobilidade, até educação, esportes e consumo.",A grande missão do Catraca Livre é usar a comunicação para empoderar os cidadãos.,Cultura e Arte,São Paulo,-23.556871,-46.685887,TRUE
Revista Movimento,https://movimentorevista.com.br/wp-json/wp/v2/,https://movimentorevista.com.br/,revistamovimento,"A Revista Movimento é uma publicação teórico-política orientada para o debate de ideias entre os socialistas, a elaboração programática e a ação política. Editada trimestralmente desde março de 2016, a revista recebe contribuições de intelectuais marxistas, militantes políticos e ativistas de movimentos sociais.","Debate de ideias entre os socialistas, a elaboração programática e a ação política",Cidadania e Política,,-23.6024606,-46.6757525,TRUE
Revista Serrote,http://www.revistaserrote.com.br/wp-json/wp/v2/,http://www.revistaserrote.com.br/,revistaserrote,"Quem edita a serrote tem como horizonte o espírito daqueles que viram, no ensaio, o jogo e a felicidade, e, no ensaísta, o homem liberto”, diz o editorial da primeira revista, resumindo o que mantém nosso entusiasmo a cada número que publicamos.","Serrote é uma revista quadrimestral publicada pelo Instituto Moreira Salles (IMS), dedicada a ensaios, artes visuais, literatura e cultura. Iniciou sua publicação em 2009.",Cultura e Arte,São Paulo,-23.556574,-46.662414,TRUE
Catarinas,http://catarinas.info/wp-json/wp/v2/,http://catarinas.info/,catarinas,"A linha editorial de Catarinas se encontra entre o jornalismo como um direito e os direitos humanos como uma premissa básica para a produção do jornalismo. Também se identifica como feminista, pretendendo o diálogo com as diversas linhas teóricas e políticas do feminismo, mediando suas perspectivas diante da realidade. Catarinas se coloca com uma unidade ativista do jornalismo enquanto direito e do feminismo enquanto estratégia de ação para a superação desta sociedade que ainda reserva lugares para as mulheres.
",O Portal de Notícias Catarinas é um veículo de jornalismo especializado em gênero.,Gênero,Florianópolis,-27.597497,-48.484446,
Nonada,http://www.nonada.com.br/wp-json/wp/v2/,http://www.nonada.com.br/,nonada,Coletivo de jornalismo cultural e alternativo composto por cerca de vinte pessoas que trabalham de forma colaborativa. Procura relacionar as diversas formas de expressão artística com temas pertinentes à realidade e relativos aos direitos humanos.,Coletivo de jornalismo cultural e alternativo.,Cultura e Arte,Porto Alegre,-30.044029,-51.198437,
Repórter Brasil,http://reporterbrasil.org.br/wp-json/wp/v2/,http://reporterbrasil.org.br/,reporterbrasil,O jornalismo da Repórter Brasil tem experiência em monitorar os problemas trabalhistas e impactos socioambientais dos maiores setores econômicos do país. Um dos diferenciais é a habilidade de rastrear cadeias produtivas de ponta a ponta: revelando a ligação entre violações de direitos humanos e ambientais na base da produção e as grandes marcas nacionais e internacionais responsáveis por isso.,Monitorar os problemas trabalhistas e impactos socioambientais dos maiores setores econômicos do país.,Cidadania e Política,São Paulo,-23.543233,-46.682765,
Candeia,http://www.candeia.jor.br/wp-json/wp/v2/,http://www.candeia.jor.br/,candeia,"Formado em 2014, o coletivo Candeia tem como missão realizar reportagens e produtos audiovisuais sobre direitos humanos e política. Além disso, mantém um projeto chamado Expressão Comunitária, que fornece oficinas de introdução ao jornalismo e audiovisual independentes para jovens moradores da periferia que se interessam por comunicação.",Reportagens e produtos audiovisuais sobre direitos humanos e política.,Cidadania e Política,São Paulo,-23.549267,-46.635971,
Amazônia Real,http://amazoniareal.com.br/wp-json/wp/v2/,http://amazoniareal.com.br/,amazoniareal,"A agência Amazônia Real nasceu em 2013 e tem o objetivo de dar oportunidade de direitos e acesso à mídia à população amazônica, inclusive as mulheres indígenas e não indígenas, produzindo e difundindo informação de qualidade e profunda na própria região por meio dos seguintes eixos temáticos: meio ambiente, povos indígenas, povos tradicionais, conflitos agrários, direitos humanos e contas públicas.",Oportunidade de direitos e acesso à mídia à população amazônica.,Meio Ambiente,Manaus,-3.12057,-60.021389,
Info Amazônia,https://infoamazonia.org/pt/wp-json/wp/v2/,https://infoamazonia.org/pt/,infoamazonia,"InfoAmazônia agrega dados e notícias sobre a Amazônia, a maior floresta tropical contínua do planeta. O projeto criado em 2012 é sustentado por uma rede de organizações e jornalistas que oferecem atualizações constantes dos nove países da região. As bases de dados compartilhadas por InfoAmazônia estarão sempre disponíveis para download e serão renovadas com frequência. O cruzamento das notícias com os dados pretende melhorar a percepção sobre os desafios para a conservação da floresta.",Dados e notícias sobre a Amazônia.,Meio Ambiente,São Paulo,-23.532402,-46.651883,
Scream and Yell,http://screamyell.com.br/site/wp-json/wp/v2/,http://screamyell.com.br/site/,screamyell,"Um site jornalístico sobre cultura pop, com entrevistas, reviews e coberturas de festivais de música, cinema, cerveja. Também produzem e lançam álbuns, fazem podcast e mixtapes e jornalismo musical aprofundado independentemente do apelo do entrevistado: tratando Caetano Veloso, Romulo Fróes e Loomer como iguais, porque todos fazem boa música.","Site jornalístico sobre cultura pop, com entrevistas, reviews e coberturas de festivais de música, cinema, cerveja.",Cultura e Arte,São Paulo,-23.570674,-46.691424,
NÓS2,http://www.nos2.co/wp-json/wp/v2/,http://www.nos2.co/,nos2,"NÓS2.CO é um portal de comunicação e mídia independente, compartilhada e colaborativa, que aborda temáticas atuais, mas que pauta por vias desprivilegiadas pela Grande Mídia, elaborando um exame crítico que busca atender as especificidades de movimentos sociais, como LGBTs, mulheres, negros e povos indígenas. A linha editorial do site segue essa ótica de contracultura, propondo alternativas, diálogos, e denúncias, visando o fortalecimento do direito a informação, a qualificação do debate democrático e a promoção dos direitos humanos. No que tange a produção de conteúdo, contamos com a parceria de autores, jornalistas, colunistas especiais, e portais de jornalismo compartilhado e colaborativo.","Especificidades de movimentos sociais, como LGBTs, mulheres, negros e povos indígenas.",Gênero,Nordeste,-8.069721,-34.886429,
Vértices Inconfidentes,http://verticesinconfidentes.com.br/wp-json/wp/v2/,http://verticesinconfidentes.com.br/,verticesinconfidentes,"O VERTICES Inconfidentes é um portal de informação online fundado em outubro de 2015. Representado por estudantes de Jornalismo da UFOP, o veículo prioriza a distribuição de um conteúdo mais divergente e amplo em seu contexto. Sem amarras editoriais, as estórias - e histórias - tendem a se tornar um ponto inicial de reflexão para uma sociedade crítica e cada vez mais conectada. Para atingir uma solidez informativa e evitar a disseminação superficial de conteúdo, o VERTICES se resguarda no direito de esperar e deixar o imediatismo em segundo plano - salvo exceções.","Portal direcionado para as regiões de Mariana e Ouro Preto, com foco em contextualização e autonomia de conteúdo.",Cidadania e Política,Mariana,-20.365341,-43.415023,
B9,http://www.b9.com.br/wp-json/wp/v2/,http://www.b9.com.br/,b9,"O B9 nasceu e continua sendo independente, contando hoje com uma rede de podcasts (10 no total, abordando assuntos bem variados, que vão de política a séries de TV) e publicações sobre o mercado de criatividade do Brasil e do mundo.","Conteúdo opinativo sobre criatividade, inovação e mercado de comunicação.",Cultura e Arte,São Paulo,-23.567343,-46.697626,
Fala Roça,http://www.falaroca.com/wp-json/wp/v2/,http://www.falaroca.com/,falaroca,"O Fala Roça existe há três anos e é formado por três jovens da Rocinha, entre 22 e 27 anos de idade. Nosso impresso é rodado a cada 2 meses e entregue cuidadosamente de porta em porta, dentro de becos e ruas de difícil acesso que não estão na rota da 'favela turística'. A ideia de criar um canal de comunicação comunitária começou em 201, partindo da insatisfação em relação às notícias produzidas sobre a Rocinha na grande mídia. Nós, enquanto moradores desse lugar, tínhamos (e temos) a vontade de dizer o que antes não se dava destaque, como as histórias incríveis que acontecem aqui e eram abafadas por tiroteios, tráfico de drogas e toda a leva de coisas ruins. Criamos então o Fala Roça e escolhemos como o elemento principal disso a cultura nordestina, pois cerca de 70% da comunidade tem ligações com a cultura do nordeste.","O Fala Roça é um jornal impresso, gratuito, bimestral, entregue de porta em porta, criado por jovens da Rocinha e inspirado na cultura nordestina.",Cidadania e Política,Rio de Janeiro,-22.992021,-43.251278,
Apartamento 702,https://apartamento702.com.br/wp-json/wp/v2/,https://apartamento702.com.br/,apartamento702,"O Apartamento 702 é um site que cobre, preferencialmente, as áreas de cultura e criatividade em Natal, mas que não se furta aos debates importantes que envolvem direitos de minoria e política na cidade. O site existe há dois anos e é mantido pelo jornalista Fábio Farias e pela publicitária Alana Cascudo. Ele conta com colaboradores da cidade entre jornalistas, profissionais liberais, universitários e outros.","A cobertura prioritária são temas que envolve cultura, política cultural, eventos e criatividade na cidade.",Cultura e Arte,Natal,-5.782495,-35.200274,
Megafonia,http://megafonia.info/wp-json/wp/v2/,http://megafonia.info/,megafonia,"Mídia independente especializada na resistência popular e direitos humanos. Até o momento, a revista tem três edições publicadas online , além de reportagens no site. Também compartilha informações de coletivos e de outras mídias independentes nas redes sociais. A revista é um projeto que surgiu no fim de 2013, ideia de dois jornalistas que estavam cansados de vivenciar uma coisa nas ruas e receber informações deturpadas pelos grandes veículos de comunicação.","Jornalismo independente, sem amarras.",Cidadania e Política,São Paulo,-23.579467,-46.655564,
Peneira Musical,http://peneiramusical.com.br/wp-json/wp/v2/,http://peneiramusical.com.br/,peneiramusical,"Peneira Musical é um blog criado por músicos e jornalistas musicais com foco na nova música brasileira, através de divulgação de material inédito e colaborações com a blogosfera.",O melhor da música brasileira e mundial passa por aqui.,Cultura e Arte,Rio de Janeiro,-22.92021,-43.193334,
Papo Reto,https://paporeto.net.br/wp-json/wp/v2/,https://paporeto.net.br/,paporeto,"Criado em setembro de 2013 por um grupo de jornalistas, liderados por Rosenildo Ferreira, o portal é parte do Projeto Colaborativo 1 Papo Reto e faz a cobertura de temas ligados ao debate da sustentabilidade de uma forma inovadora, preocupada em traduzir este universo para os integrantes das classes C e B.",Portal de notícias sobre sustentabilidade.,Meio Ambiente,São Paulo,-23.53952,-46.633846,
Jornal Já,http://www.jornalja.com.br/wp-json/wp/v2/,http://www.jornalja.com.br/,jornalja,"Além do site com atualização diária, edita uma revista temática, um jornal de bairro e um de grandes reportagens. Também investe em livros escritos por jornalistas e lançados sob o selo JÁ Editores. É editado por um coletivo de jornalistas independentes e se financia por uma multiplicidade de canais - desde patrocínios tradicionais, venda de livros, revistas e jornais, projetos culturais e, mais recentemente, pela sua primeira campanha de crowdfunding.",Jornal alternativo de Porto Alegre com 30 anos de existência que privilegia grandes reportagens sobre temas que a gente não vê por aí.,Cidadania e Política,Porto Alegre,-30.03463,-51.228222,
Revista Gambiarra,http://revistagambiarra.com.br/wp-json/wp/v2/,http://revistagambiarra.com.br/,revistagambiarra,"A Revista Gambiarra é um veículo online que pretende adicionar novas práticas na produção jornalística de Vitória da Conquista e região, inserido debates e questionamentos através de entrevistas e grandes reportagens sobre os mais diversos temas.","Jornalismo, Cultura e Ativismo",Cidadania e Política,Vitória da Conquista,-14.863313,-40.842119,
Manual do Usuário,https://www.manualdousuario.net/wp-json/wp/v2/,https://www.manualdousuario.net/,manualdousuario,"O Manual do Usuário é um site de tecnologia que não publica notícias. Em vez disso, veicula matérias especiais, mais aprofundadas e com pontos de vista diferentes. Além dessa linha editorial menos célere, sua fundação ainda é composta pela filosofia slow web e por uma comunidade interessada e respeitosa de leitores.",Site slow web sobre tecnologia que escreve mais sobre menos assuntos.,Cultura e Arte,Maringá,-23.420292,-51.936972,
Portal Giro,https://portalgiro.com/wp-json/wp/v2/,https://portalgiro.com/,portalgiro,"O Portal Giro nasceu da iniciativa de dois amigos que, ao se mudarem para Petrópolis, buscaram frustradamente uma colocação nos jornais locais. Não foi necessária uma pesquisa muito extensa para entender que o jornalismo da cidade era feito pelas mesmas pessoas há muitos anos e que não havia lugar para gente ou ideias novas. Cansados do status quo e ainda cheios da vontade de fazer produzir informação para as pessoas, os dois amigos decidiram fundar seu próprio portal de notícias. Sem dinheiro para montar uma estrutura impressa, a opção foi criar um jornal online. O Portal hoje conta, principalmente, com a colaboração dos que leem para fazer as denúncias e informar o que acontece na cidade de Petrópolis e nas cidades vizinhas.",Jornalismo independente da Região Serrana do Rio.,Cidadania e Política,Petrópolis,-22.513327,-43.17805,
Portallos,http://www.portallos.com.br/wp-json/wp/v2/,http://www.portallos.com.br/,portallos,"O Portallos surgiu em 2008, inspirado em sites como o Continue e Hadouken (que eram sites de jornalistas na área de games no Brasil). Nos últimos anos ele vem se profissionalizando, focando em textos editoriais, reviews e críticas, sempre com opiniões e reflexões embasadas, cobrindo o entretenimento pop de forma informativa e opinativa, sem ser apelativo. Seu editor não é formato em jornalismo, porém tem formação em Direito, por isso o site faz mais textos do que conteúdo multimídia.",Cobertura do entretenimento pop feita com opiniões e reflexões.,Cultura e Arte,Nacional,-23.296314,-45.974028,
Sul 21,https://www.sul21.com.br/wp-json/wp/v2/,https://www.sul21.com.br/,sul21,"Somos um jornal veiculado exclusivamente na internet, comprometido com a democracia e a honestidade. Estes são valores inegociáveis e dos quais não nos afastaremos jamais. Nosso noticiário busca sempre a verdade factual, dando oportunidade de expressão a todas as correntes, sejam elas ideológicas, partidárias, religiosas ou esportivas.","Política do RS e Nacional, Mundo e Cultura.",Cidadania e Política,Rio Grande do Sul,-29.991678,-51.20153,
Agência Plano,http://agenciaplano.com/wp-json/wp/v2/,http://agenciaplano.com/,agenciaplano,O Portal Latino-americano de Notícias nasceu em 2014 e tem como principal objetivo produzir conteúdo jornalístico sobre os países da América Latina. Acreditamos que é possível promover a integração da região também por meio de informação feita por e para a população latino-americana.,Portal de notícias feito por e para latino-americanos.,Cidadania e Política,São Paulo,-23.535295,-46.66655,
Conexão Israel,http://www.conexaoisrael.org/wp-json/wp/v2/,http://www.conexaoisrael.org/,conexaoisrael,"O Conexão Israel é composto por brasileiros que vivem em Israel produzem material original. Isso inclui análise, notícias e opiniões vindo de diversos campos do espectro político. Os temas são os mais variados, como atualidades, história, política, língua, sociedade, ciências e até culinária. São mais de três anos criando em torno de 3 matérias semanais que já passaram por duas guerras e duas eleições.","Opinião, informação e análise sobre Israel.",Cidadania e Política,Israel,31.7964453,35.1053189,
Boatos.org,http://www.boatos.org/wp-json/wp/v2/,http://www.boatos.org/,boatos,"Formado por jornalistas, o Boatos.org é um site que visa, diariamente, desmentir informações falsas que circulam na internet. A equipe do site busca, apura e publica desmentidos de boatos online. Atualmente, o site conta com a colaboração (principalmente em pautas) dos leitores e é atualizado diariamente.",Portal destinado a desmentir informações falsas que circulam na web.,Cidadania e Política,Brasília,-15.79561,-47.871841,
MigraMundo,http://migramundo.com/wp-json/wp/v2/,http://migramundo.com/,migramundo,"No ar desde 3 de outubro de 2012, o MigraMundo contém tanto notícias e relatos sobre problemas vividos pelos migrantes dentro e fora do país como avanços e reconhecimentos obtidos na questão migratória. Tocado por um grupo de pessoas simpáticas à questão das migrações, ele também busca ser um ponto de conexão entre estudiosos, militantes e demais interessados no tema.","Espaço para abordar e debater as múltiplas facetas que permeiam as migrações no Brasil e no mundo, combatendo estereótipos, racismo e xenofobia.",Cidadania e Política,São Paulo,-23.558028,-46.644537,
Revista Cardamomo,http://www.revistacardamomo.com/wp-json/wp/v2/,http://www.revistacardamomo.com/,revistacardamomo,Uma revista de cultura aberta para qualquer papo cabeça ou conversa cotidiana e suas sugestões. O desejo é discutir as filosofias e as letargias da sociedade de maneira profunda.,"Revista de jornalismo livre, cultura e arte aberta para qualquer papo cabeça ou conversa cotidiana.",Cultura e Arte,Recife,-8.071851,-34.877183,
De Olho Nos Ruralistas,https://deolhonosruralistas.com.br/wp-json/wp/v2/,https://deolhonosruralistas.com.br/,deolhonosruralistas,Um observatório do agronegócio no Brasil.,Um observatório do agronegócio no Brasil.,Meio Ambiente,São Paulo,-23.560281,-46.644099,
De Olho No Paraguai,https://deolhonosruralistas.com.br/deolhonoparaguai/wp-json/wp/v2/,https://deolhonosruralistas.com.br/deolhonoparaguai/,deolhonoparaguai,Um observatório do agronegócio no Paraguai.,Um observatório do agronegócio no Paraguai.,Meio Ambiente,São Paulo,-23.560281,-46.644099,
